artist,id
Fonk Machine,0wjH0Ku0uBbzlOUCE7nZVq
De Monaco,67bpPvzKD2IiNBqcxBHAII
Carito Plaza,47FMKtE8Sh6gRkH1E5uNDc
Sagredo,60jkPaH5Jr7yshCcVPWWEh
Zaturno,6P8YjImNhI3N6nrCEEhISo
Sofia Correa,1bVSA9IM2PsnHzY7j3mG7h
FunkAttack,5FiMyOjmDzH3j0bFwmjqcZ
Natural Matiz,19kCVHPFvvJvITYgrYBUYo
Rey Electrico,3t1dxI8ugmSdi9WyS8gpFK
Cristobal Rey,37PXQQaScR5PgIm1YpoF3p
Sundaya,1pKQaNjDjjpUhIsxHHuIXW
Dracma,78tD42FJydw9radWozuIta
La Pozze Latina,3aOF7RsJI2dUGekgjR1qzp
Tiano Bless,35B3K7HUycrePapFhO8X5v
Chicanota,73ZDYjQrEIwv6dxSVl12mS
Solteronas en Escabeche,3tOPlz1THJhkPfNJJyDomL
Alectrofobia,6SBThA2w6qBakDSGVoSXPZ
Cigarbox Man,6KvYkMetRUoKfIjEt9A0QV
Angel Parra Orrego,33XTgiMGZUjMR6SnwE2qUy
Los Makana,0mtBfe3vziCV83NXGXWgD5
Cancamusa,6GSnSFc0O2JMkPkGcBFsNc
Unisono,7eZiPJ8lMhvAlvdqxGY7aS
Billy Norton,1UfRX7LoEjVtkiVgykLgCb
Ermitano,6ICRv7oox3xRu0WxvELbqO
Implos,56YpnBaRqcv4nmiNmwV6k6
Ciudad Nomade,5bTN0MgAA8rwwi16VuwXwA
Los Insolentes,5PSALJaFvns883BaOLR6Vc
Pablo Ilabaca,0G6TsGjX0YYEDjXeBkiW5A
Tsunamis,2oqOl5iVYtC7mpaqUtm5pU
Azotea Bulnes,0pQb15WbZCDXx5Ou5GxAxF
Pez Platano,2QSolWRaQ4qyykIQwVe3IT
Hijo de Ladron,2X4WeD7RHacya71SNgMWgM
Aguaturbia,1GGnADQvJeAIqtrjWc0CFc
El Otro Astronauta,0XgIpxvQkRLs1IbbCkNcFa
Kutral Kai Paz,3vszuJ8MGiTnqljThfpVJB
Los Crushers,65xNr7wwwRFXt9oq6DsN8q
Valija Diplomatica,2euAtk0firHMqPFDJHLJCV
Carga4,7oLFGxYGGi5T5iHABngpBM
Noiz,5NpCexmiedqpm9vOpdf5jW
99 Payasos,2WSHIN9bs2GkKpPCaRz23c
Condor,1wKXDhoZlEhCOf7Uga3EG0
Hausi Kuta,5iVb4hi1IDpP6NKIKdEwpF
Cede,5gg0cZdcWGowFq4M0PiO7C
Malditos Vecinos,4DrNcaxBidf9OtpQr8oCB9
Kolumbia,4kspMj0rOe3V4NCUx3iJlH
Pulmon,4repoujJm9DMrwgtasadzY
Autoctonos de Ninguna Parte,7pqtHCx8vGUbM5sVb45peN
Franks White Canvas,0BUt8giUgbVvPzCIoznf6i
Franklin,4z4fHgRk195uGlbBfYJMRc
Enei,3ychxeKDZNc3ITaeJfz7GO
Automatico,0HiaC6yJUDlEjZUj8axdWk
Circuito Nacional,3gwaNs7RvWYoa0C2XLApBV
Massonico,1ztINaqHzkQnwJJR75cKfB
Perrosky,4yjkuB5LSs64YsvUj11MQm
Club Calaca,6tMgnaQXrnY75jL1wktHRA
JuanaRosa,67wP3ywr6RDKCpWKasKmqi
Arak Pacha,1qQuDaLRfEZmlZ6TgeNxEy
Sobernot,4UoLg3nBfqf9sSR0rE4v6y
Markamaru,4jQpZOjIXzSPBnojwkWKjr
Freddy Torrealba,4pueYKuO1fr6XbPEJkeEJ2
Isabel Parra,2aRPBh4HSVPmevvlsCySOt
Nelson Schwenke,6zzgP0odeS6Q5TRODD3VR5
Esteban Pavez,5bMIAabrJsXP0keI22Em3U
